14:55:14 | DEBUG | start_polling: 395 | Received 1 updates.
14:55:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431202, 'timeout': 20}" and files "None"
14:55:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431202,\n"message":{"message_id":493,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799714,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:55:14 | DEBUG | start_polling: 395 | Received 1 updates.
14:55:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431203, 'timeout': 20}" and files "None"
14:55:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431203,\n"message":{"message_id":494,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799715,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:55:14 | DEBUG | start_polling: 395 | Received 1 updates.
14:55:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431204, 'timeout': 20}" and files "None"
14:55:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431204,\n"message":{"message_id":495,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799715,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:55:14 | DEBUG | start_polling: 395 | Received 1 updates.
14:55:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431205, 'timeout': 20}" and files "None"
14:55:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431205,\n"message":{"message_id":496,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799715,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:55:14 | DEBUG | start_polling: 395 | Received 1 updates.
14:55:15 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431206, 'timeout': 20}" and files "None"
